experiment,split_id,genus
within_cohort_zhuang2018,outer_fold_2,Romboutsia
within_cohort_zhuang2018,outer_fold_2,Roseburia
within_cohort_zhuang2018,outer_fold_2,Rothia
within_cohort_zhuang2018,outer_fold_2,Ruminococcus
within_cohort_zhuang2018,outer_fold_2,Ruminococcus gnavus group
within_cohort_zhuang2018,outer_fold_2,Ruminococcus torques group
within_cohort_zhuang2018,outer_fold_2,Sellimonas
within_cohort_zhuang2018,outer_fold_2,Solobacterium
within_cohort_zhuang2018,outer_fold_2,Streptococcus
within_cohort_zhuang2018,outer_fold_2,Subdoligranulum
within_cohort_zhuang2018,outer_fold_2,Sutterella
within_cohort_zhuang2018,outer_fold_2,TM7x
within_cohort_zhuang2018,outer_fold_2,Terrisporobacter
within_cohort_zhuang2018,outer_fold_2,Thermus
within_cohort_zhuang2018,outer_fold_2,Turicibacter
within_cohort_zhuang2018,outer_fold_2,Tyzzerella
within_cohort_zhuang2018,outer_fold_2,UBA1819
within_cohort_zhuang2018,outer_fold_2,UCG-002
within_cohort_zhuang2018,outer_fold_2,UCG-003
within_cohort_zhuang2018,outer_fold_2,UCG-005
within_cohort_zhuang2018,outer_fold_2,UCG-009
within_cohort_zhuang2018,outer_fold_2,Veillonella
within_cohort_zhuang2018,outer_fold_2,Weissella
within_cohort_zhuang2018,outer_fold_2,[Clostridium] innocuum group
within_cohort_zhuang2018,outer_fold_2,[Eubacterium] fissicatena group
within_cohort_zhuang2018,outer_fold_2,[Eubacterium] nodatum group
within_cohort_zhuang2018,outer_fold_2,[Eubacterium] ruminantium group
within_cohort_zhuang2018,outer_fold_2,[Eubacterium] siraeum group
within_cohort_zhuang2018,outer_fold_2,[Eubacterium] xylanophilum group
within_cohort_zhuang2018,outer_fold_2,[Ruminococcus] gauvreauii group
within_cohort_zhuang2018,outer_fold_3,Acinetobacter
within_cohort_zhuang2018,outer_fold_3,Actinomyces
within_cohort_zhuang2018,outer_fold_3,Adlercreutzia
within_cohort_zhuang2018,outer_fold_3,Agathobacter
within_cohort_zhuang2018,outer_fold_3,Akkermansia
within_cohort_zhuang2018,outer_fold_3,Alistipes
within_cohort_zhuang2018,outer_fold_3,Allisonella
within_cohort_zhuang2018,outer_fold_3,Anaerostipes
within_cohort_zhuang2018,outer_fold_3,Anaerotruncus
within_cohort_zhuang2018,outer_fold_3,Atopobium
within_cohort_zhuang2018,outer_fold_3,Bacteroides
within_cohort_zhuang2018,outer_fold_3,Barnesiella
within_cohort_zhuang2018,outer_fold_3,Bifidobacterium
within_cohort_zhuang2018,outer_fold_3,Bilophila
within_cohort_zhuang2018,outer_fold_3,Blautia
within_cohort_zhuang2018,outer_fold_3,Butyricicoccus
within_cohort_zhuang2018,outer_fold_3,Butyricimonas
within_cohort_zhuang2018,outer_fold_3,CAG-352
within_cohort_zhuang2018,outer_fold_3,CAG-56
within_cohort_zhuang2018,outer_fold_3,Candidatus Soleaferrea
within_cohort_zhuang2018,outer_fold_3,Christensenella
within_cohort_zhuang2018,outer_fold_3,Christensenellaceae R-7 group
within_cohort_zhuang2018,outer_fold_3,Clostridium sensu stricto 1
within_cohort_zhuang2018,outer_fold_3,Colidextribacter
within_cohort_zhuang2018,outer_fold_3,Collinsella
within_cohort_zhuang2018,outer_fold_3,Coprobacillus
within_cohort_zhuang2018,outer_fold_3,Coprococcus
within_cohort_zhuang2018,outer_fold_3,Corynebacterium
within_cohort_zhuang2018,outer_fold_3,DTU089
within_cohort_zhuang2018,outer_fold_3,Defluviitaleaceae UCG-011
within_cohort_zhuang2018,outer_fold_3,Desulfovibrio
within_cohort_zhuang2018,outer_fold_3,Dialister
within_cohort_zhuang2018,outer_fold_3,Dorea
within_cohort_zhuang2018,outer_fold_3,Eggerthella
within_cohort_zhuang2018,outer_fold_3,Eisenbergiella
within_cohort_zhuang2018,outer_fold_3,Enterobacter
within_cohort_zhuang2018,outer_fold_3,Enterococcus
within_cohort_zhuang2018,outer_fold_3,Erysipelatoclostridium
within_cohort_zhuang2018,outer_fold_3,Erysipelotrichaceae UCG-003
within_cohort_zhuang2018,outer_fold_3,Escherichia-Shigella
within_cohort_zhuang2018,outer_fold_3,Eubacterium brachy group
within_cohort_zhuang2018,outer_fold_3,Eubacterium eligens group
within_cohort_zhuang2018,outer_fold_3,Eubacterium hallii group
within_cohort_zhuang2018,outer_fold_3,Eubacterium ventriosum group
within_cohort_zhuang2018,outer_fold_3,Faecalibacterium
within_cohort_zhuang2018,outer_fold_3,Faecalitalea
within_cohort_zhuang2018,outer_fold_3,Family XIII AD3011 group
within_cohort_zhuang2018,outer_fold_3,Family XIII UCG-001
within_cohort_zhuang2018,outer_fold_3,Flavonifractor
within_cohort_zhuang2018,outer_fold_3,Fusicatenibacter
within_cohort_zhuang2018,outer_fold_3,Fusobacterium
within_cohort_zhuang2018,outer_fold_3,GCA-900066575
within_cohort_zhuang2018,outer_fold_3,Gemella
within_cohort_zhuang2018,outer_fold_3,Gordonibacter
within_cohort_zhuang2018,outer_fold_3,Granulicatella
within_cohort_zhuang2018,outer_fold_3,HT002
within_cohort_zhuang2018,outer_fold_3,Haemophilus
within_cohort_zhuang2018,outer_fold_3,Holdemanella
within_cohort_zhuang2018,outer_fold_3,Holdemania
within_cohort_zhuang2018,outer_fold_3,Hungatella
within_cohort_zhuang2018,outer_fold_3,Incertae Sedis
within_cohort_zhuang2018,outer_fold_3,Intestinibacter
