cohort,taxon,n_folds_total,n_positive,n_negative,n_zero,median_coefficient,mean_coefficient,sign_stability
kazakhstan2022,Methylobacterium-Methylorubrum,10,10,0,0,0.007581427104194672,0.007925247441282871,stable_positive
kazakhstan2022,Methyloceanibacter,10,8,2,0,0.0034490648958522834,0.006404561582145929,stable_positive
kazakhstan2022,Methylotenera,10,10,0,0,0.021449162148425426,0.021697811219111053,stable_positive
kazakhstan2022,Methyloversatilis,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,Microbacterium,10,0,10,0,-0.019338144892064334,-0.027428600936519006,stable_negative
kazakhstan2022,Microlunatus,10,10,0,0,0.020604552606993946,0.025170283372458958,stable_positive
kazakhstan2022,Microvirga,10,0,10,0,-0.024226024745203467,-0.03050466745569433,stable_negative
kazakhstan2022,Mitsuokella,10,1,9,0,-0.012910060566633385,-0.010347201836419724,stable_negative
kazakhstan2022,Mogibacterium,10,2,8,0,-0.0050297590770749,-0.008294086313038638,stable_negative
kazakhstan2022,Monoglobus,10,0,10,0,-0.02175588396484534,-0.02322418607830928,stable_negative
kazakhstan2022,Muribaculum,10,7,3,0,0.0035665083212623743,0.0028367847316270434,unstable
kazakhstan2022,Mycobacterium,10,0,10,0,-0.01979029924733209,-0.023140968622319017,stable_negative
kazakhstan2022,NK4A214 group,10,10,0,0,0.023268133124934212,0.02912873187825743,stable_positive
kazakhstan2022,Nannocystis,10,2,8,0,-0.009494829950786553,-0.017902715178992834,stable_negative
kazakhstan2022,Negativibacillus,10,5,5,0,0.00041102388683029187,-0.0030628890241362356,unstable
kazakhstan2022,Nesterenkonia,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,Niastella,10,10,0,0,0.01579857719165468,0.01764574488250995,stable_positive
kazakhstan2022,Nitrolancea,10,1,9,0,-0.010693273442490402,-0.01420456149797204,stable_negative
kazakhstan2022,Nitrosococcus,10,0,10,0,-0.025726242705606653,-0.04050974358833777,stable_negative
kazakhstan2022,Nitrosospira,10,1,9,0,-0.004501344703342442,-0.007368198030426402,stable_negative
kazakhstan2022,Nitrospira,10,7,3,0,0.0068584432457695094,0.011090235741838586,unstable
kazakhstan2022,Nocardioides,10,2,8,0,-0.007527973673618568,-0.010080843601187554,stable_negative
kazakhstan2022,Nonomuraea,10,0,10,0,-0.015563537867376999,-0.02022699877290845,stable_negative
kazakhstan2022,Nordella,10,10,0,0,0.007961048997761386,0.008040449601542689,stable_positive
kazakhstan2022,Novosphingobium,10,0,10,0,-0.009748758309452482,-0.01255425057482561,stable_negative
kazakhstan2022,OLB17,10,10,0,0,0.008140706583926788,0.009180822874746706,stable_positive
kazakhstan2022,OM27 clade,10,0,10,0,-0.013607954102599705,-0.021641139357749067,stable_negative
kazakhstan2022,Oceanicaulis,10,0,10,0,-0.021205925979321086,-0.023101072117161173,stable_negative
kazakhstan2022,Odoribacter,10,9,1,0,0.006134267389091383,0.006907029673055137,stable_positive
kazakhstan2022,Ohtaekwangia,10,10,0,0,0.025306086353754767,0.022439443264647797,stable_positive
kazakhstan2022,Olsenella,10,10,0,0,0.03598170252303978,0.04395837443951105,stable_positive
kazakhstan2022,Opitutus,10,2,8,0,-0.0075984373643118155,-0.008522864600393917,stable_negative
kazakhstan2022,Oribacterium,10,9,1,0,0.0077972715500278875,0.005450348844042061,stable_positive
kazakhstan2022,Oscillibacter,10,0,10,0,-0.021430716845342673,-0.028120145418186287,stable_negative
kazakhstan2022,Oscillospira,10,10,0,0,0.04501494820388748,0.05477540498532416,stable_positive
kazakhstan2022,Oxalobacter,10,10,0,0,0.042556696765641056,0.04744705571042242,stable_positive
kazakhstan2022,P3OB-42,10,2,8,0,-0.008514416383338967,-0.011472137894202905,stable_negative
kazakhstan2022,Paenibacillus,10,10,0,0,0.005549953293077782,0.00548419082629548,stable_positive
kazakhstan2022,Paeniclostridium,10,0,10,0,-0.020529591254305837,-0.020167648474342263,stable_negative
kazakhstan2022,Paenisporosarcina,10,2,8,0,-0.0030115796892771734,-0.0034971668613754,stable_negative
kazakhstan2022,Pajaroellobacter,10,9,1,0,0.007818122443806537,0.012364166235158285,stable_positive
kazakhstan2022,Paludicola,10,10,0,0,0.019223286530848958,0.03161166308129444,stable_positive
kazakhstan2022,Pannonibacter,10,1,9,0,-0.0018839699768137931,-0.0019612327600047022,stable_negative
kazakhstan2022,Papillibacter,10,9,1,0,0.010500475721122338,0.013760169496407432,stable_positive
kazakhstan2022,Parabacteroides,10,2,8,0,-0.005974791649102719,-0.007071242356638245,stable_negative
kazakhstan2022,Paracoccus,10,10,0,0,0.009383494786605263,0.009727947790468195,stable_positive
kazakhstan2022,Paraprevotella,10,10,0,0,0.0283953363497243,0.033837654725529895,stable_positive
kazakhstan2022,Parapusillimonas,10,1,9,0,-0.021932362526717784,-0.01712254138142841,stable_negative
kazakhstan2022,Parasutterella,10,0,10,0,-0.019443249779661005,-0.028507187433022198,stable_negative
kazakhstan2022,Parvimonas,10,8,2,0,0.009849928693670549,0.018542851599381485,stable_positive
